province,Latitude,Longitude
Hunan,26.91684794,112.296051
Hunan,27.06351701,111.9663805
Hunan,26.75101229,111.8691009
Hunan,27.39129206,112.2589526
Hunan,25.41897474,112.1661583
Hunan,27.5265769,112.6997373
Hunan,27.20995574,111.8682747
Hunan,27.90352318,111.7335709
Hunan,26.33149595,111.1373103
Hunan,25.92060106,112.5860553
Hunan,25.89968594,112.4168269
Hunan,27.59640646,113.1615337
Hunan,27.43014883,112.2103692
Hunan,26.99525884,112.0244067
Hunan,27.9339831,111.8404577
Hunan,26.53317219,110.6027786
Hunan,27.60049112,111.925855
Hunan,28.08879785,112.2091507
Hunan,26.59398723,112.0693383
Hunan,27.23771772,113.031186
Hunan,25.33443863,111.6025403
Hunan,27.08165627,112.464676
Hunan,28.4426196,111.9897734
Hunan,26.91726417,111.0342984
Hunan,27.25987177,112.9762826
Hunan,26.96664726,112.4109905
Hunan,27.21354968,111.4265158
Hunan,26.96339623,112.3093902
Hunan,26.99669769,111.9836703
Hunan,27.64779947,112.1155193
Hunan,26.28894618,112.059073
Hunan,27.85786335,110.8327117
Hunan,28.20653242,110.981837
Hunan,26.53159788,111.8269727
Hunan,26.70516563,111.9953187
Hunan,27.5856258,111.0987464
Hunan,26.97540855,111.7008961
Hunan,26.98698578,111.4167397
Hunan,27.17689726,112.3613301
Hunan,27.34372523,110.4334808
Hunan,26.95430302,112.0661009
Hunan,27.77017243,111.7118363
Hunan,27.07754122,110.7810289
Hunan,28.13429008,111.2278578
Hunan,27.6741235,112.0355363
Hunan,27.06315365,112.3575888
Hunan,26.63098842,112.4602353
Hunan,26.60956506,111.7352263
Hunan,26.26866115,112.9426474
Hunan,27.50461287,113.2369782
Hunan,26.84259039,112.2040504
Hunan,27.64201956,111.3540703
Hunan,26.89165008,111.9272446
Hunan,28.52432248,111.3411277
Hunan,26.12033184,112.7956684
Hunan,26.98772709,113.6047384
Hunan,26.72712315,111.390589
Hunan,26.85269252,112.1941365
Hunan,26.42253797,111.0539252
Hunan,26.14410494,112.0462551
Hunan,27.42141615,110.6209767
Hunan,26.7197019,112.88765
Hunan,27.06194257,112.1705151
Hunan,26.79049897,111.6615132
Hunan,27.51300763,112.4154611
Hunan,27.105763,111.7514103
Hunan,26.82445402,112.8331931
Hunan,26.39195585,111.7055007
Hunan,27.75927017,111.4908996
Hunan,27.18218618,111.7510513
Hunan,28.72690009,112.3889579
Hunan,27.97973381,110.8898472
Hunan,27.30894765,111.8158755
Hunan,26.97069753,112.1367653
Hunan,26.41119965,113.2539316
Hunan,28.60916071,112.5208816
Hunan,27.8917379,111.6834858
Hunan,27.74325814,112.0487086
Hunan,26.56455937,112.4869292
Hunan,27.68472299,111.3431951
Hunan,28.10234989,111.6074274
Hunan,27.92011636,112.7267641
Hunan,27.36422949,111.5437683
Hunan,27.15035225,112.1133877
Hunan,26.47945717,112.3382256
Hunan,26.85172751,111.5606207
Hunan,28.07075039,111.5007353
Hunan,26.57284112,111.7172419
Hunan,26.74336472,112.2224106
Hunan,27.15522583,111.7211752
Hunan,27.98503993,111.9712267
Hunan,28.2565273,112.216793
Hunan,28.16807904,111.7140612
Hunan,26.57556492,111.1578099
Hunan,26.66254538,111.7846721
Hunan,26.90677192,111.9882435
Hunan,28.49559287,112.654678
Hunan,26.13821509,111.6867109
Hunan,25.62955485,111.6627578
Hunan,28.44002504,111.2378314
Hunan,27.08726559,110.5584241
Hunan,26.16868127,112.8670888
Hunan,27.20840344,112.7387914
Hunan,27.54240093,111.4526023
Hunan,26.69589276,112.1339244
Hunan,26.99773943,111.9982465
Hunan,28.60845193,112.1343869
Hunan,26.89013732,111.7926231
Hunan,26.98286444,113.3477229
Hunan,27.78247383,111.3288341
Hunan,27.46220921,111.7329755
Hunan,28.0101234,112.4816044
Hunan,26.83194348,112.6953241
Hunan,28.47278513,111.1204171
Hunan,26.97468097,113.350497
Hunan,27.810549,111.8076943
Hunan,28.36537914,112.3604641
Hunan,26.31567295,112.3276235
Hunan,28.17240366,112.8945182
Hunan,26.53422576,112.046227
Hunan,26.60464372,111.0065829
Hunan,27.66154827,111.7707125
Hunan,26.51500355,111.4746047
Hunan,27.30758014,111.5641363
Hunan,28.48584048,111.4440148
Hunan,27.5377587,112.8262804
Hunan,28.45383327,110.9806367
Hunan,27.30276659,113.1123472
Hunan,26.83214225,112.8816771
Hunan,25.65381052,112.2001032
Hunan,27.02051089,112.027256
Hunan,26.71652184,111.404331
Hunan,27.41385664,111.5121019
Hunan,26.42805021,112.0019016
Hunan,27.05225743,111.8802075
Hunan,27.58400495,110.9622765
Hunan,28.50882396,112.019233
Hunan,27.08885586,110.2492923
Hunan,27.36019765,112.0206541
Hunan,25.37323585,111.4313748
Hunan,27.87414078,112.3800092
Hunan,26.94604151,111.8905244
Hunan,27.24462699,112.3220092
Hunan,26.68574035,113.0740769
Hunan,27.91686255,113.5440299
Hunan,27.34525074,111.982736
Hunan,26.78126301,110.9401252
Hunan,26.95959312,111.2456287
Hunan,25.91402419,112.135484
Hunan,25.28228224,112.1120638
Hunan,27.09936466,112.7958182
Hunan,27.0042251,112.4321559
Hunan,26.81950281,111.5110271
Hunan,27.30806699,110.9547661
Hunan,26.52557114,112.6583494
Hunan,28.17542784,110.7747572
Hunan,28.48763843,112.3996788
Hunan,25.99041993,111.8495961
Hunan,27.31031302,112.5681897
Hunan,28.05388364,111.0008362
Hunan,27.19381476,111.3056506
Hunan,27.38222952,111.5396788
