province,Latitude,Longitude
Anhui,37.207779,115.056998
Anhui,38.313525,116.857067
Anhui,45.529828,119.648712
Anhui,32.1982,118.594435
Anhui,32.079537,118.401805
Anhui,32.079537,118.401805
Anhui,32.1982,118.594435
Anhui,32.117169,118.470981
Anhui,32.205345,118.62559
Anhui,32.190686,118.517746
Anhui,31.858096,117.309471
Anhui,31.848525,117.303592
Anhui,31.793192,117.309533
Anhui,31.797798,117.25527
Anhui,31.878641,117.264595
Anhui,31.865781,117.283912
Anhui,31.865262,117.297726
Anhui,31.858062,117.280676
Anhui,31.862865,117.289189
Anhui,31.862865,117.289189
Anhui,31.862865,117.289189
Anhui,31.8742,117.2361
Anhui,31.858096,117.309471
Anhui,32.194282,117.214683
Anhui,32.095935,117.225495
Anhui,32.181472,117.143194
Anhui,32.066279,117.077961
Anhui,32.06722,117.068096
Anhui,32.050972,117.069445
Anhui,32.06722,117.068096
Anhui,32.06722,117.068096
Anhui,32.280903,117.119698
Anhui,32.290394,117.059496
Anhui,32.295072,117.170603
Anhui,31.959705,117.178625
Anhui,32.457388,117.235447
Anhui,32.406565,117.238361
Anhui,32.35219,117.18565
Anhui,32.382742,117.268662
Anhui,31.989148,117.332225
Anhui,31.979425,117.356555
Anhui,32.247734,117.340183
Anhui,32.284441,117.305154
Anhui,32.247734,117.340183
Anhui,32.274777,117.364864
Anhui,32.4192,117.3155
Anhui,32.366507,117.346065
Anhui,32.366507,117.346065
Anhui,32.418118,117.315471
Anhui,32.259092,117.185145
Anhui,32.27992,117.22486
Anhui,32.163632,117.031118
Anhui,32.153464,117.090072
Anhui,32.203522,117.085454
Anhui,32.226121,117.075394
Anhui,32.382328,117.125094
Anhui,32.374607,117.158909
Anhui,32.350285,117.168222
Anhui,32.333827,117.092905
Anhui,32.342003,117.051256
Anhui,32.351854,117.121828
Anhui,32.173958,117.357185
Anhui,32.163484,117.320041
Anhui,32.167695,117.321138
Anhui,32.588634,117.062648
Anhui,32.549808,117.069351
Anhui,32.50507,117.016163
Anhui,32.471695,117.054381
Anhui,32.505939,117.05063
Anhui,32.526029,116.998205
Anhui,32.580617,116.988404
Anhui,32.579351,116.958986
Anhui,32.581246,116.994404
Anhui,32.45685,117.019342
Anhui,32.423928,117.017068
Anhui,32.492607,117.047506
Anhui,32.468178,116.961265
Anhui,32.515123,116.988522
Anhui,32.522953,116.942036
Anhui,32.496624,116.923597
Anhui,32.50507,117.016163
Anhui,32.499241,116.941226
Anhui,32.446483,116.960869
