id,province,name,Latitude,Longitude,Type,Name_Type,Year
26114,Gansu,City God Temple Democratic Management Committee,34.48527,106.556742,4,Daoism,1989
26115,Gansu,Wuzhai Mosque Democratic Management Committee,34.48527,106.556742,5,Islam,1980
26576,Gansu,Baiyun Daoist Temple Management Committee,36.062572,103.810678,4,Daoism,1948
26577,Gansu,Yufo Buddhist Temple,36.057551,103.831975,3,Buddhism,1998
26578,Gansu,Dongguan Mosque Management Committee,36.069628,103.838824,5,Islam,1987
26579,Gansu,Minjiaqiao Mosque,36.043694,103.831075,5,Islam,1980
26580,Gansu,Chengguan District Islamic Association,36.05932,103.85263,5,Islam,1970
26581,Gansu,Pingliang Road Mosque,36.04871,103.846439,5,Islam,1988
26582,Gansu,Lanzhou City Daoist Association,36.05932,103.85263,4,Daoism,1985
26583,Gansu,Lülan Mosque Management Committee,36.068276,103.827721,5,Islam,1981
26584,Gansu,Gansu Province Islamic Association,36.059989,103.812212,5,Islam,1957
26585,Gansu,Gansu Province Buddhist Association,36.038377,103.826786,30,Buddhism,1957
26586,Gansu,Zhigong Daoist Temple Management Committee,36.057257,103.825206,4,Daoism,1992
26587,Gansu,Wuquan Protestant Church,36.044424,103.826012,1,Protestantism,1987
26588,Gansu,Gansu Province Daoist Association,36.05932,103.85263,4,Daoism,1985
26589,Gansu,Jingyuan Road Women's Mosque Management Committee,36.067634,103.82545,5,Islam,1984
26590,Gansu,Mount Yunding Faxian Temple Renovation Board,36.0576,103.82102,3,Buddhism,2002
26591,Gansu,Donggang Town Mosque Management Committee,36.041163,103.921448,5,Islam,1982
26592,Gansu,Mufuti Mosque Management Committee,36.057028,103.820139,5,Islam,1990
26593,Gansu,Fulongping Mosque Management Committee,36.046301,103.811566,5,Islam,1981
26594,Gansu,Lanzhou City Buddhist Association,36.038377,103.826786,30,Buddhism,1992
26595,Gansu,Xiuheyan Mosque Management Committee,36.05556,103.81949,5,Islam,1988
26596,Gansu,Wenquan Mosque Qubba Management Committee,36.0454,103.84522,5,Islam,1882
26597,Gansu,Foguang Temple,36.0474,103.81381,3,Buddhism,2004
26598,Gansu,Lanzhou City Protestant Three-self Patriotic Movement Committee,36.059138,103.827746,10,Protestantism,1957
26599,Gansu,Shanzishi Protestant Church Affairs Management Committee,36.059144,103.827742,1,Protestantism,1923
26600,Gansu,Nanzhuanwayao Mosque,36.0391,103.8536,5,Islam,2002
26601,Gansu,Lingming Mosque Qubba Management Committee,36.060435,103.801577,5,Islam,1859
26602,Gansu,Hualin Road Mosque,36.05624,103.8008,5,Islam,1997
26603,Gansu,Xijin East Road Mosque Management Committee,36.062587,103.798745,5,Islam,1996
26604,Gansu,Lianhuachi Mosque,36.06806,103.79335,5,Islam,1983
26605,Gansu,Jile Temple,36.021094,103.813797,3,Buddhism,1993
26606,Gansu,Jintian Daoist Temple Management Committee,36.059563,103.804922,4,Daoism,1980
26607,Gansu,Jingning County Protestant Church,36.0541,103.8317,1,Protestantism,1990
26608,Gansu,Mabao Qubba Mosque Management Committee,36.049142,103.784728,5,Islam,1989
26609,Gansu,Yeman Qubba (Mosque)  Management Committee,36.057102,103.78817,5,Islam,1954
26610,Gansu,Ningjing Qubba (Mosque),36.06901,103.78424,5,Islam,1979
26611,Gansu,Jiangouyan Mosque,36.059983,103.7895,5,Islam,1983
26612,Gansu,Chonghe Mosque Qubba Management Committee,36.05323,103.78773,5,Islam,1953
26613,Gansu,Mount Luo Jinhua Temple,35.938946,103.801535,4,Daoism,1992
26614,Gansu,Mount Tiandu Temple Management Committee,35.938809,103.868352,3,Buddhism,1986
26615,Gansu,Changsheng Temple Management Committee,35.991622,103.835614,4,Daoism,1993
26616,Gansu,Xiangyuan Temple Management Committee,36.048339,103.783608,5,Islam,1982
26617,Gansu,Guanyin Temple,36.057515,103.694985,3,Buddhism,1991
26618,Gansu,Jingye Temple Pure Land Association,35.907511,103.847525,3,Buddhism,1996
26619,Gansu,Shuanglong Temple Management Committee,35.991622,103.835614,3,Buddhism,1992
