province,Latitude,Longitude
Guizhou,26.556219,106.773762
Guizhou,26.568607,106.717763
Guizhou,26.578124,106.734444
Guizhou,26.584757,106.710087
Guizhou,26.583385,106.71434
Guizhou,26.586612,106.710538
Guizhou,26.589983,106.713468
Guizhou,26.588774,106.713398
Guizhou,26.584757,106.710087
Guizhou,26.586612,106.710538
Guizhou,26.589983,106.713468
Guizhou,26.589983,106.713468
Guizhou,26.589983,106.713468
Guizhou,26.589983,106.713468
Guizhou,26.302727,106.812889
Guizhou,26.298796,106.816498
Guizhou,26.560795,106.52558
Guizhou,26.615875,106.690612
Guizhou,26.731918,106.808066
Guizhou,26.71521,106.910705
Guizhou,26.662971,106.816511
Guizhou,26.620668,106.824387
Guizhou,26.730133,106.690368
Guizhou,26.498047,106.680465
Guizhou,26.600092,106.332799
Guizhou,26.572659,104.99425
Guizhou,26.736725,104.824954
Guizhou,26.826138,104.684421
Guizhou,26.572966,104.887686
Guizhou,26.77784,104.617674
Guizhou,26.583085,104.911959
Guizhou,26.574979,104.843555
Guizhou,26.810505,104.618008
Guizhou,26.590525,104.827814
Guizhou,26.590525,104.827814
Guizhou,26.585882,104.848882
Guizhou,26.822745,104.64185
Guizhou,26.604069,104.824225
Guizhou,26.593173,104.845974
Guizhou,26.706537,104.799794
Guizhou,26.757118,104.607857
Guizhou,26.602282,104.964139
Guizhou,26.422449,105.512791
Guizhou,26.415589,105.431795
Guizhou,26.2257,105.465
Guizhou,26.149133,105.274555
Guizhou,26.490728,105.254156
Guizhou,26.226087,105.380426
Guizhou,26.181297,105.270959
Guizhou,26.179241,105.145694
Guizhou,26.309734,105.403592
Guizhou,26.085876,105.266519
Guizhou,26.491808,105.329359
Guizhou,26.188318,105.547135
Guizhou,26.179749,105.679067
Guizhou,26.213164,105.575824
Guizhou,26.083726,105.506269
Guizhou,26.240068,105.458098
Guizhou,26.445562,105.280713
Guizhou,26.164457,105.66251
Guizhou,26.340323,105.395656
Guizhou,26.340323,105.395656
Guizhou,26.345436,105.277228
Guizhou,26.08692,105.347818
Guizhou,26.32448,105.470898
Guizhou,26.388015,105.363642
Guizhou,26.115759,105.408678
Guizhou,26.115759,105.408678
Guizhou,26.386932,105.467036
Guizhou,26.424181,105.407381
