id,province,name,Latitude,Longitude,Type,Name_Type,Year
13686,Henan,Protestant Church,31.820571,116.533375,1,Protestantism,2000
17658,Henan,West Mosque,34.75802,113.525669,5,Islam,1998
17659,Henan,Wangzhuang Protestant Church,34.773421,113.534999,1,Protestantism,1994
17660,Henan,Xishilipu Mosque,34.748256,113.6131,5,Islam,1993
17661,Henan,Shajiamen Mosque Democratic Management Committee,34.807542,113.570624,5,Islam,1958
17662,Henan,Gangpo Protestant Church,34.750985,113.602243,1,Protestantism,1996
17663,Henan,Diaogou Mosque Democratic Management Committee,34.75802,113.525669,5,Islam,1950
17664,Henan,Honggou East Mosque,34.75802,113.525669,5,Islam,1993
17665,Henan,Honggou South Mosque,34.75802,113.525669,5,Islam,1993
17666,Henan,Qianliugou Mosque Management Committee,34.75802,113.525669,5,Islam,1979
17667,Henan,Xishilipu Women's Mosque,34.748256,113.6131,5,Islam,1995
17668,Henan,Zhaoxiandong Mosque Management Committee,34.706551,113.54414,5,Islam,1916
17669,Henan,Dianchanglu Protestant Church,34.784977,113.609205,1,Protestantism,2000
17670,Henan,Baizhai Mosque Management Committee,34.807542,113.570624,5,Islam,1834
17671,Henan,Foguang Temple,34.760256,113.564389,3,Buddhism,1994
17672,Henan,Zhiliu Mosque Management Committee,34.748256,113.6131,5,Islam,1949
17673,Henan,Ruhe Mosque Management Committee,34.728866,113.605848,5,Islam,1990
17674,Henan,Honggou West Mosque Management Committee,34.75802,113.525669,5,Islam,1934
17675,Henan,Niuzhai Mosque,34.748256,113.6131,5,Islam,1993
17676,Henan,Xushui Mosque Committee,34.75802,113.525669,5,Islam,1918
17677,Henan,Huayuanjie Mosque,34.724401,113.639964,5,Islam,1902
17678,Henan,Lüzheng Mosque Democratic Management Committee,34.749591,113.664835,5,Islam,1898
17679,Henan,Fengzhuang Protestant Church,34.718343,113.670179,1,Protestantism,1997
17680,Henan,Duizhou Mosque Democratic Management Committee,34.722498,113.636568,5,Islam,1996
17681,Henan,Jiuhua Temple,34.724401,113.639964,3,Buddhism,2003
17682,Henan,Xiaolou Mosque,34.755118,113.663562,5,Islam,1975
17683,Henan,Houliuzhuang Mosque Management Committee,34.668934,113.721337,5,Islam,1993
17684,Henan,He'nan Province Buddhist Association,34.7104,113.7138,30,Buddhism,1983
17685,Henan,Beida Mosque Management Committee,34.753642,113.678557,5,Islam,1980
17686,Henan,He'nan Province Protestant Three-self Patriotic Movement Committee,34.720859,113.735614,10,Protestantism,1958
17687,Henan,Zhengzhou City Protestant Three-self Patriotic Movement Committee,34.754883,113.67041,10,Protestantism,1988
17688,Henan,Houfuminli Mosque Management Committee,34.745908,113.672687,5,Islam,1934
17689,Henan,Beida Women's Mosque,34.753642,113.678557,5,Islam,1973
17690,Henan,He'nan Province Protestant Association,34.720875,113.764712,10,Protestantism,1983
17691,Henan,Gongmazhuang Mosque,34.7545,113.677548,5,Islam,1983
17692,Henan,Qingpingli Mosque,34.7545,113.677548,5,Islam,1995
17693,Henan,Beixia Street Mosque Management Committee,34.753191,113.66988,5,Islam,1965
17694,Henan,Zhengzhou Buddhist Study Society,34.814602,113.659121,30,Buddhism,1998
17695,Henan,Shangjie Mosque Management Committee,34.809151,113.288633,5,Islam,1997
17696,Henan,Shangjie District Protestant Church,34.814456,113.314243,1,Protestantism,1986
17697,Henan,Sunzhuang Protestant Church,34.90723,113.585499,1,Protestantism,1995
17698,Henan,Jingshui Mosque,34.877295,113.698595,5,Islam,1983
17699,Henan,Yueshan Temple,34.949069,113.522609,3,Buddhism,1979
17700,Henan,Dongzhao Protestant Church,34.882208,113.642529,1,Protestantism,1998
17701,Henan,Guxing Town Protestant Church,34.87915,113.539018,1,Protestantism,1987
17702,Henan,Zushi Temple,34.949069,113.522609,4,Daoism,1997
17703,Henan,Catholic Church,34.867458,113.616901,2,Catholicism,2004
17704,Henan,Xinzhuang Village Protestant Church,34.882013,114.140432,1,Protestantism,1995
17705,Henan,Houwei Village Church,34.635503,113.817501,1,Protestantism,1999
17706,Henan,Yanzhang Village Protestant Church,34.646917,113.966469,1,Protestantism,1995
17707,Henan,Sanyizhang Protestant Church,34.511529,113.929742,1,Protestantism,1995
17708,Henan,Shuituozhai Church,34.617452,114.101684,1,Protestantism,1995
17709,Henan,Xiaowangzhuang Protestant Church,34.712463,113.865882,1,Protestantism,1995
17710,Henan,Donggang Village Protestant Church,34.817797,113.961961,1,Protestantism,1992
17711,Henan,Luosong Village Protestant Church,34.634037,114.008635,1,Protestantism,1995
17712,Henan,Xiaohu Village Protestant Church,34.608822,114.041279,1,Protestantism,2002
17713,Henan,Dianlikou Village Protestant Church,34.69898,114.156586,1,Protestantism,1995
17714,Henan,Xiguan Mosque,34.7255,114.0226,5,Islam,1950
17715,Henan,Xuzhuang Protestant Church,34.715622,114.060841,1,Protestantism,1995
17716,Henan,Taipingdi Village Protestant Church,34.858421,114.185171,1,Protestantism,1985
17717,Henan,Caochang Protestant Church,34.513792,113.906033,1,Protestantism,1995
17718,Henan,Nanren Village West Mosque,34.889733,114.122811,5,Islam,1962
17719,Henan,Daguanzhuang Village Church,34.637785,113.83287,1,Protestantism,1990
17720,Henan,Yanzhang Protestant Church,34.826383,113.856827,1,Protestantism,1995
17721,Henan,Donggang Protestant Church,34.817797,113.961961,1,Protestantism,1992
17722,Henan,Dalizhuang Protestant Church Huodongdian,34.689181,114.07228,1,Protestantism,2000
17723,Henan,Daheliu Church,34.567461,113.87074,1,Protestantism,1997
17724,Henan,Wansheng Mosque,34.715559,113.978072,5,Islam,1953
17725,Henan,Chenqiao Village Protestant Church,34.674795,114.111374,1,Protestantism,1997
17726,Henan,Dongzhang Mosque,34.876767,114.089388,5,Islam,1962
17727,Henan,Shengjinli Church,34.560482,113.887999,1,Protestantism,1995
17728,Henan,Sunzhuang Protestant Church,34.861481,113.916388,1,Protestantism,1994
17729,Henan,Maozhuang Protestant Church,34.676299,114.031207,1,Protestantism,1996
17730,Henan,Chaan Protestant Church,34.772202,113.975024,1,Protestantism,1997
17731,Henan,Xiwu Church,34.806761,114.101327,1,Protestantism,1975
17732,Henan,Yangzhuang Church,34.539346,113.871178,1,Protestantism,1999
17733,Henan,Fulizhuang Church,34.496551,114.069141,1,Protestantism,1990
17734,Henan,Yangzhuang Church,34.64388,114.075926,1,Protestantism,1990
17735,Henan,Nanren Mosque,34.889733,114.122811,5,Islam,1962
17736,Henan,Shaogang Village Protestant Church,34.72244,114.088601,1,Protestantism,1980
17737,Henan,Liuqiao Protestant Church,34.686108,113.980448,1,Protestantism,1997
17738,Henan,Lumiao Village Protestant Church,34.774091,113.945222,1,Protestantism,1995
17739,Henan,Xiaozhuang Protestant Church,34.862653,113.865325,1,Protestantism,1995
