id,province,name,Latitude,Longitude,Type,Name_Type,Year
615,Shanxi,Baolian Temple,37.735047,112.572274,3,Buddhism,2004
616,Shanxi,Yuanzhao Temple,37.722306,112.57102,3,Buddhism,1999
617,Shanxi,Xiaodian District Buddhist Association,37.693656,112.532504,30,Buddhism,2003
618,Shanxi,Xiaodian Village Protestant Church,37.742745,112.573943,1,Protestantism,2003
619,Shanxi,Yansheng Temple,37.693656,112.532504,3,Buddhism,2000
620,Shanxi,Guansheng Temple,37.772746,112.563349,3,Buddhism,1997
621,Shanxi,Dongpu Village Catholic Church,37.673953,112.529085,2,Catholicism,2000
622,Shanxi,Liangjiazhuang Village Catholic Church,37.665433,112.556854,2,Catholicism,2000
623,Shanxi,Lingze Temple,37.644413,112.514734,3,Buddhism,2000
624,Shanxi,Guanyin Temple,37.673953,112.529085,3,Buddhism,2000
625,Shanxi,Zhifu Temple,37.654199,112.590529,3,Buddhism,2000
626,Shanxi,Sanxian Catholic Church,37.644413,112.514734,2,Catholicism,2000
627,Shanxi,Chongfu Temple,37.646627,112.497594,3,Buddhism,2001
628,Shanxi,Ganlu Temple,37.679345,112.517752,3,Buddhism,2003
629,Shanxi,Guanyin Temple,37.636989,112.541868,3,Buddhism,2000
630,Shanxi,Gaozhong Catholic Church,37.742266,112.628473,2,Catholicism,1986
631,Shanxi,Xiwenzhuang Catholic Church,37.727031,112.629787,2,Catholicism,1976
632,Shanxi,Zhenru Temple,37.648208,112.476323,3,Buddhism,2004
633,Shanxi,Shanxi Province Islamic Association,37.869158,112.560963,5,Islam,1990
634,Shanxi,Taiyuan Protestant Association,37.86773,112.568026,10,Protestantism,1981
635,Shanxi,Shanxi Province Protestant Three-Self Patriotic Movement Committee,37.86773,112.568026,10,Protestantism,1981
636,Shanxi,Chongshan Temple,37.867113,112.57987,3,Buddhism,1833
637,Shanxi,Baiyun Temple,37.834543,112.611803,3,Buddhism,1878
638,Shanxi,Taiyuan Catholic Diocese,37.892445,112.56262,2,Catholicism,1876
639,Shanxi,Puji Temple,37.873376,112.562569,3,Buddhism,1997
640,Shanxi,Shanxi Province Catholic Monastery,37.883025,112.465258,2,Catholicism,1985
641,Shanxi,Dayan Village Catholic Church,37.891968,112.451693,2,Catholicism,1910
642,Shanxi,Dngshe Catholic Church,37.886576,112.491155,2,Catholicism,1873
643,Shanxi,Geliaogou Cathoilc Church,37.899815,112.467467,2,Catholicism,1873
644,Shanxi,Shagou Catholic Church,37.833022,112.509502,2,Catholicism,1911
645,Shanxi,Guanyin Temple,37.860875,112.50107,3,Buddhism,1998
646,Shanxi,Beihan Catholic Church,37.858923,112.458488,2,Catholicism,1943
647,Shanxi,Fengshenghe Catholic Church,37.878275,112.43592,2,Catholicism,1903
648,Shanxi,Guangren Temple,37.865499,112.443557,3,Buddhism,1997
649,Shanxi,Helongwan Catholic Church,37.844506,112.435099,2,Catholicism,1937
650,Shanxi,Xiliulin Catholic Church,37.660681,112.468545,2,Catholicism,1990
651,Shanxi,Longquan Temple,37.802359,112.481336,3,Buddhism,1996
652,Shanxi,Wanbolin District Buddhist Associaiton,37.802359,112.481336,30,Buddhism,2000
653,Shanxi,Guanyin Temple,37.791086,112.527249,3,Buddhism,2001
654,Shanxi,Yijing Church,37.715241,112.477822,1,Protestantism,2002
655,Shanxi,Luocheng Protestant Church,37.755368,112.481473,1,Protestantism,2000
656,Shanxi,Changchun Temple,37.719245,112.476789,4,Daoism,1998
657,Shanxi,Guanyin Temple,37.737938,112.507854,3,Buddhism,1993
658,Shanxi,Beiji Temple,37.766287,112.529286,4,Daoism,2000
659,Shanxi,Amitabha Temple,37.744445,112.540467,3,Buddhism,1994
660,Shanxi,Guchengying Catholic Church,37.74055,112.493898,2,Catholicism,2000
661,Shanxi,Confucius Temple,37.727657,112.488841,4,Daoism,2004
662,Shanxi,Zhenwu Temple,37.737938,112.507854,4,Daoism,2001
663,Shanxi,Puxian Temple,37.711072,112.479906,3,Buddhism,1999
664,Shanxi,Guandi Temple,37.737938,112.507854,4,Daoism,2002
665,Shanxi,Dafo Temple,37.781533,112.491512,3,Buddhism,2004
666,Shanxi,Jiulong Temple,37.74055,112.493898,4,Daoism,1991
667,Shanxi,Hufo Temple,37.700897,112.492548,3,Buddhism,2003
668,Shanxi,Wufuying Catholic Church,37.715241,112.477822,2,Catholicism,2000
669,Shanxi,Mount Tai Temple,37.727602,112.489912,4,Daoism,2003
