province,Latitude,Longitude
Yunnan,28.641394,104.140693
Yunnan,25.043709,102.702784
Yunnan,25.035986,102.707064
Yunnan,25.049408,102.709389
Yunnan,25.050288,102.711736
Yunnan,25.039226,102.714029
Yunnan,25.034683,102.719803
Yunnan,25.155266,102.742552
Yunnan,25.141225,102.734662
Yunnan,25.046852,102.878977
Yunnan,25.046852,102.878977
Yunnan,24.962687,102.711639
Yunnan,24.98853,102.76129
Yunnan,25.028229,102.709154
Yunnan,25.1152,102.7228
Yunnan,25.1596,102.6531
Yunnan,25.063054,102.63735
Yunnan,25.00545,102.629469
Yunnan,25.033488,102.633659
Yunnan,24.96855,102.62614
Yunnan,24.874617,102.657309
Yunnan,24.836091,102.660942
Yunnan,26.065566,102.985769
Yunnan,26.226823,102.824354
Yunnan,26.362802,103.041577
Yunnan,25.960522,103.175876
Yunnan,26.090627,103.193555
Yunnan,25.805259,103.246609
Yunnan,26.07705,103.193519
Yunnan,26.22942,103.125539
Yunnan,26.024186,103.096431
Yunnan,26.184574,103.069248
Yunnan,25.837195,103.239666
Yunnan,25.961549,103.204521
Yunnan,25.891856,103.221382
Yunnan,26.314176,102.91337
Yunnan,25.961549,103.204521
Yunnan,25.943704,103.250146
Yunnan,26.206886,103.127804
Yunnan,25.837195,103.239666
Yunnan,25.837195,103.239666
Yunnan,26.094006,103.191582
Yunnan,26.104971,103.120594
Yunnan,25.960522,103.175876
Yunnan,25.837195,103.239666
Yunnan,26.226823,102.824354
Yunnan,26.184574,103.069248
Yunnan,26.032734,103.10106
Yunnan,26.077788,103.187507
Yunnan,26.067551,103.195672
Yunnan,24.926749,102.809865
Yunnan,24.951735,102.947608
Yunnan,24.845272,102.84196
Yunnan,24.862924,102.824963
Yunnan,24.897471,102.79328
Yunnan,24.890979,102.809013
Yunnan,24.781047,102.805586
Yunnan,24.953173,102.934354
Yunnan,24.669712,102.595433
Yunnan,24.697768,102.756657
Yunnan,24.663789,102.602237
Yunnan,24.661184,102.577607
Yunnan,24.70079,102.749255
Yunnan,25.217828,102.497526
Yunnan,25.221932,102.497568
Yunnan,25.331725,102.458321
Yunnan,25.272509,102.466548
Yunnan,25.221932,102.497568
Yunnan,25.300943,102.657119
Yunnan,25.331457,102.644765
Yunnan,25.535001,102.750793
Yunnan,25.202451,102.518483
Yunnan,25.299917,102.52652
Yunnan,25.269285,102.627897
Yunnan,25.423791,102.702087
Yunnan,25.445927,102.653142
Yunnan,25.34526,102.400395
Yunnan,25.345973,102.535034
Yunnan,25.232587,102.483871
Yunnan,25.473141,102.6374
Yunnan,25.351804,102.510437
Yunnan,25.513906,102.673596
Yunnan,25.34526,102.400395
Yunnan,24.860777,103.056654
Yunnan,24.921724,103.132756
Yunnan,25.146592,103.143256
Yunnan,25.062174,103.372953
Yunnan,24.570971,103.114833
Yunnan,25.066249,103.372714
Yunnan,24.92737,103.149599
Yunnan,24.846606,103.133944
Yunnan,24.57193,103.04717
Yunnan,24.8793,103.1249
Yunnan,25.203599,103.21967
Yunnan,25.055082,103.164026
Yunnan,24.921724,103.132756
Yunnan,24.993933,103.243954
Yunnan,24.95939,103.03949
Yunnan,25.172909,103.206037
Yunnan,25.016053,103.158567
Yunnan,24.95939,103.03949
Yunnan,25.0911,103.36
Yunnan,24.909275,103.148999
Yunnan,25.098338,103.382159
Yunnan,24.917371,103.141548
Yunnan,24.77343,103.148186
Yunnan,24.845213,103.180391
Yunnan,24.914749,103.146548
Yunnan,24.787893,103.143029
Yunnan,24.844207,103.142185
Yunnan,24.945255,103.165423
Yunnan,24.647542,103.554052
Yunnan,24.77294,103.251748
Yunnan,24.658657,103.614295
Yunnan,24.709914,103.236942
Yunnan,24.7621,103.264097
Yunnan,24.888944,103.354601
Yunnan,24.814206,103.274396
Yunnan,25.315153,103.096135
Yunnan,25.393845,102.837554
Yunnan,25.306968,102.7704
Yunnan,25.300783,102.888199
Yunnan,25.395386,102.875413
Yunnan,25.338088,103.038656
Yunnan,25.243,103.0562
Yunnan,25.332569,103.036721
Yunnan,25.4195,102.9936
Yunnan,25.338567,103.037054
Yunnan,25.327259,103.031678
Yunnan,25.333338,103.041826
Yunnan,25.253772,102.875175
Yunnan,25.294457,103.217654
Yunnan,25.270969,102.997902
Yunnan,25.309857,103.025657
Yunnan,25.207657,103.078355
Yunnan,25.267877,102.862717
Yunnan,25.323487,103.03499
Yunnan,25.2751,102.8643
Yunnan,25.260511,103.148443
Yunnan,25.270617,103.270188
Yunnan,25.332569,103.036721
Yunnan,24.922473,102.491326
Yunnan,24.919493,102.478494
